bvid,label,title,status,subtitle_lan,body_count,content_chars,keyword_hits,noise_hits,relevance
BV1GX4y1k7jn,support,如何不学术不端的“抄”师兄的毕业大论文，减轻工作量,ok,ai-zh,316,3210,175,0,likely_relevant
BV1Ht6wBVES1,core,当你开始仅论文论，一年百篇不是梦！,ok,ai-zh,19,132,0,19,too_short
BV1Kw1xYqE3n,support,80分钟纯干货长视频，小论文粉丝千问千答，研究生错过后悔一辈子（上）,ok,ai-zh,54,377,0,54,too_short
BV1Lk4y197Fj,support,SCI2区论文是怎么水的，论文剖析实例解读，科研Trick揭秘，摸摸老虎屁股,ok,ai-zh,590,8052,2,1,likely_mismatch
BV1MSUTYYEfw,support,导师push每天问进度怎么办，感觉科研毫无意义怎么办，没小论文会影响大论文盲审结果吗,ok,ai-zh,43,374,0,0,too_short
BV1MX4y1p7UY,support,我将不再低调，暑期录一个科研水论文入门全集,ok,ai-zh,479,5049,59,0,likely_relevant
BV1NV4y1a7Hs,support,研二做俩事，定实验，写论文，然后该干嘛干嘛去！,ok,ai-zh,74,626,0,0,too_short
BV1Ns4y197EM,support,灌水论文的核心逻辑，营造信息差，事事不较真，海阔天空，人生也如此,ok,ai-zh,160,1616,1,0,likely_mismatch
BV1QH4y1C7iQ,support,深入讲解科研bug，OA期刊和非OA期刊的区别，毕业神刊OA,ok,ai-zh,581,6276,2,0,likely_mismatch
BV1Qs4y1d7BF,support,一个方法，获取领域所有可投期刊，并给期刊分类后顶刊、水刊一眼明了，避免论文投了就被拒,ok,ai-zh,310,3207,51,0,likely_relevant
BV1SY4y197yA,support,和审稿专家聊完，毕业论文初稿还可以抢救一下再提交,ok,ai-zh,20,212,0,0,too_short
BV1T7j7zXEst,support,大论文盲审过了，别想太多，毕业答辩过了，更不要想太多，20250523,ok,ai-zh,142,1610,0,1,likely_mismatch
BV1UB4y1j7Vv,support,劝人读研，五雷轰顶，来这教你水论文混毕业,ok,ai-zh,425,4661,100,0,likely_relevant
BV1VvDQYBErA,support,40分钟长视频，关于小论文的粉丝千问千答，错过后悔一辈子,empty_subtitle_url,zh-Hans,0,0,0,0,unavailable
BV1YN4y1n726,support,华中农129页小论文分析，学术不端不过是，学术圈的替死鬼,ok,ai-zh,229,3086,0,0,likely_mismatch
BV1YT411T7MD,core,学术妲己拯救你做一个优秀的学术裁缝，没有继承且无法复现论文模型怎么办？,ok,ai-zh,537,5865,125,0,likely_relevant
BV1Zo4y1L7my,support,科研党不听后悔终生，有继承的科研就像一刀999的传奇，开局就送论文,ok,ai-zh,58,474,0,5,too_short
BV1a94y1G7Xp,core,学术裁缝是学术不端？我的视频误人子弟？,ok,ai-zh,278,3030,132,0,likely_relevant
BV1bn92YWEy1,support,复旦大学博后，四篇硕论一字不漏的抄，发表成四篇顶刊，一些小启发吧！,ok,ai-zh,806,7803,0,0,likely_mismatch
BV1bu4y1f7We,support,节省科研时间的，学术论文捆绑销售法,ok,ai-zh,599,5886,0,0,likely_mismatch
BV1c263YkEce,support,延毕只有老实人，佛也只渡有缘人，他们如何1个月写出1篇大论文,ok,ai-zh,1148,12454,286,0,likely_relevant
BV1crrLYxE5Z,support,每个研究生都要明白的道理，努力推动科研发展，还是水论文保毕业,ok,ai-zh,58,624,0,0,too_short
BV1dg411p7QP,support,换个角度反向提升实验性能超过顶刊 (水论文小trick),ok,ai-zh,245,2857,2,0,likely_mismatch
BV1dx421U7B3,support,接好运~毕业大论文盲审一定能过，根据返稿意见反思为什么会被挂,ok,ai-zh,74,755,0,0,too_short
BV1dzNWewExA,core,学术裁缝的核心，不是缝模块，而是编故事，20250126(2),ok,ai-zh,1652,18152,284,0,likely_relevant
BV1eM4m1Q7qy,support,论文写完了，如何找到最适合自己的可投稿期刊呢？,ok,ai-zh,29,274,0,0,too_short
BV1fP411F7ke,support,水论文必须学会的两件事(99%干)，所有领域通用,ok,ai-zh,124,1343,11,0,mixed_review
BV1fW4y1W7dS,support,sci灌水文每个部分都这样写就对了，模板链接在视频简介中,ok,ai-zh,719,8089,196,0,likely_relevant
BV1ihw3zUEDy,support,毕业大论文，盲审通过概率+100%，最后一次应该检查的内容，佛渡有缘研究生，过了这村，没这个店,ok,ai-zh,63,1272,2,0,likely_mismatch
BV1inEJzLEcG,core,不做实验的学术裁缝是不端，做实验的学术裁缝是基操，20250507，,ok,ai-zh,1538,16716,447,0,likely_relevant
BV1ir421K7kC,core,生动形象的说清楚，学术论文如何编一个好故事,ok,ai-zh,251,2935,11,0,mixed_review
BV1j6421Z7yX,support,毕业大论文，看你会抄不会抄，毕业论文的前期准备,ok,ai-zh,259,2565,1,0,likely_mismatch
BV1j9cKzeEUn,support,三探川大王竹卿硕士论文，现在的研究生太难了,ok,ai-zh,31,284,0,0,too_short
BV1jQD8Y7Exh,core,如何高效学习，高效阅读论文，实现科研上的自由,ok,ai-zh,128,1628,25,0,likely_relevant
BV1jvxEzaECD,support,手把手带你给论文，选择合适的期刊，再带你走通投稿流程,ok,ai-zh,162,1954,61,0,likely_relevant
BV1jy4y1K7gu,support,实操演示有手就行的Ei会议5天录用，也许ei能打破唯论文论,ok,ai-zh,131,1445,0,0,likely_mismatch
BV1kK411s72y,support,导师不可能和学生讲的秘密，高质量的SCI，对导师有何大用，对学生又有什么用？,ok,ai-zh,102,1327,0,0,likely_mismatch
BV1mK4y167Hf,support,研一就发两篇SCI，是天道酬勤，还是另有秘密武器，研究生方向抉择,ok,ai-zh,58,474,0,5,too_short
BV1nM411M75V,support,不是你菜写不出来论文，只是没人教你水论文的套路,ok,ai-zh,338,3507,45,0,likely_relevant
BV1ne41157Gn,core,水论文如何吹一个好故事，伟大者剽窃，核心思想是复刻,ok,ai-zh,55,714,0,0,too_short
BV1nhFZz7E8D,core,二探川大83页举报信，给研究生们的启发！当你仅论文论，论文发表好像很简单！严厉抵制学术不端！,ok,ai-zh,281,3009,0,53,likely_mismatch
BV1oP411x7H3,support,求你别再自我意淫学术小论文了！开始带你动笔，纯净干货无广告,no_subtitle,,0,0,0,0,unavailable
BV1ob4y1g7Cb,support,教会徒弟饿死师傅系列，讲清楚大论文如何无中生有,ok,ai-zh,20,245,0,0,too_short
BV1qv4y1n7dx,core,35分钟教你从0到1，水出SCI（精品），学术裁缝必修课,ok,ai-zh,1106,10819,253,0,likely_relevant
BV1r4cEz6ETb,support,大论文盲审专家，会质疑数据真假吗？20260209,ok,ai-zh,1061,10912,264,2,likely_relevant
BV1rAYKznEcK,support,研三的同学们，大论文要开始动笔了，就业更要时刻盯着，20250901，,ok,ai-zh,1510,16438,275,1,likely_relevant
BV1rN411H7LD,support,从ei会议到oa期刊，有手就行，谁才是幕后推手？,ok,ai-zh,9,62,0,9,too_short
BV1sD4y1C7SP,support,如何快速水完论文，期刊和会议的区别，水刊不如水会,ok,ai-zh,303,3417,96,0,likely_relevant
BV1st4y1w7u5,support,一份论文两用，无缝切换大小论文,ok,ai-zh,9,62,0,9,too_short
BV1tUy5YkEXe,core,论文A+B的组合能发新论文吗？顶刊更看重什么？没有导师带怎么发顶刊？,ok,ai-zh,7,48,0,0,too_short
BV1uM411x7ng,support,指导过的双非本科生水完sci4区论文，两个关键点,ok,ai-zh,806,7803,0,0,likely_mismatch
BV1us4y1A75M,support,指导过的双非本三生水完ei论文，两个关键点,empty_subtitle_url,ai-zh,0,0,0,0,unavailable
BV1v841117EV,support,最正确的选择论文投稿级别方法，Sci一区，二区还是四区？亦或者ei会议？,ok,ai-zh,176,2153,0,0,likely_mismatch
BV1vt4y1T7sy,support,水论文，创新如何找，优秀者模仿，视频末尾有例子示范,ok,ai-zh,613,6258,106,0,likely_relevant
BV1yN4y1h7td,support,大论文必备收藏技能，Latex公式秒变Word公式，附Word激活方法教学,ok,ai-zh,55,714,0,0,too_short
BV1yT421a7JR,support,30分钟，详解毕业大论文全网最正确的目录结构,ok,ai-zh,159,1664,1,0,likely_mismatch
